Using cpu device
Wrapping the env in a DummyVecEnv.
Logging to experiments/RL/course_project/runs/ppo_imitation_bugfix_1_5M/tensorboard/ppo/PPO_1
---------------------------------
| rollout/           |          |
|    loss                 | -0.0421     |
|    n_updates            | 7180        |
|    policy_gradient_loss | -0.0295     |
|    std                  | 0.586       |
|    value_loss           | 0.0146      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 883         |
|    iterations           | 720         |
|    time_elapsed         | 1669        |
|    total_timesteps      | 1474560     |
| train/                  |             |
|    approx_kl            | 0.048272155 |
|    clip_fraction        | 0.399       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.4       |
|    explained_variance   | -0.32960618 |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0205     |
|    n_updates            | 7190        |
|    policy_gradient_loss | -0.0316     |
|    std                  | 0.585       |
|    value_loss           | 0.0246      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 6.59e+03     |
|    ep_rew_mean          | 1.28e+03     |
| time/                   |              |
|    fps                  | 882          |
|    iterations           | 721          |
|    time_elapsed         | 1672         |
|    total_timesteps      | 1476608      |
| train/                  |              |
|    approx_kl            | 0.040198673  |
|    clip_fraction        | 0.385        |
|    clip_range           | 0.2          |
|    entropy_loss         | -12.4        |
|    explained_variance   | -0.075442314 |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0481      |
|    n_updates            | 7200         |
|    policy_gradient_loss | -0.0359      |
|    std                  | 0.584        |
|    value_loss           | 0.0123       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59e+03    |
|    ep_rew_mean          | 1.28e+03    |
| time/                   |             |
|    fps                  | 882         |
|    iterations           | 722         |
|    time_elapsed         | 1675        |
|    total_timesteps      | 1478656     |
| train/                  |             |
|    approx_kl            | 0.053355552 |
|    clip_fraction        | 0.425       |
|    clip_range           | 0.2         |
|    entropy_loss         | -12.3       |
|    explained_variance   | 0.3146066   |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0654     |
|    n_updates            | 7210        |
|    policy_gradient_loss | -0.0332     |
|    std                  | 0.58        |
|    value_loss           | 0.0116      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.59e+03   |
|    ep_rew_mean          | 1.28e+03   |
| time/                   |            |
|    fps                  | 882        |
|    iterations           | 723        |
|    time_elapsed         | 1677       |
|    total_timesteps      | 1480704    |
| train/                  |            |
|    approx_kl            | 0.04328733 |
|    clip_fraction        | 0.401      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.3      |
|    explained_variance   | 0.27372235 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.016     |
|    n_updates            | 7220       |
|    policy_gradient_loss | -0.0329    |
|    std                  | 0.58       |
|    value_loss           | 0.00945    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.93e+03   |
|    ep_rew_mean          | 1.35e+03   |
| time/                   |            |
|    fps                  | 882        |
|    iterations           | 724        |
|    time_elapsed         | 1679       |
|    total_timesteps      | 1482752    |
| train/                  |            |
|    approx_kl            | 0.03916153 |
|    clip_fraction        | 0.418      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.2      |
|    explained_variance   | 0.67354214 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0399    |
|    n_updates            | 7230       |
|    policy_gradient_loss | -0.032     |
|    std                  | 0.578      |
|    value_loss           | 0.00526    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.93e+03   |
|    ep_rew_mean          | 1.35e+03   |
| time/                   |            |
|    fps                  | 882        |
|    iterations           | 725        |
|    time_elapsed         | 1682       |
|    total_timesteps      | 1484800    |
| train/                  |            |
|    approx_kl            | 0.040311   |
|    clip_fraction        | 0.393      |
|    clip_range           | 0.2        |
|    entropy_loss         | -12.2      |
|    explained_variance   | 0.37437916 |
|    learning_rate        | 0.0003     |
|    loss                 | -0.016     |
|    n_updates            | 7240       |
|    policy_gradient_loss | -0.0273    |
|    std                  | 0.576      |
|    value_loss           | 0.171      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
